"Var2","C","C_1","C_2","L_s","L_1_s","L_2_s","K_s","K_1_s","I","I_1","Y","A","Case"
"14",0.0086833570930611,0.0086645087611975,0.00876497099094089,0.00014484224552191,0.000186167292059784,0,0.0104692918902506,0.0104692918902506,0.00966388886521722,0.00966388886521722,0.00890981317428771,0.00513342083279503,"Non-Ricardian Agents omega High"
"15",0.00850236293507217,0.00849685856327281,0.00852619704629097,4.22989995018685e-05,5.43673577413353e-05,0,0.0103684571171609,0.0103684571171609,0.00878871233875611,0.00878871233875611,0.00856849598891894,0.00487674979115528,"Non-Ricardian Agents omega High"
"16",0.00830268267145897,0.00830849644152567,0.00827750885555027,-4.46766059646955e-05,-5.74233211442692e-05,0,0.0102263639256754,0.0102263639256754,0.00800023725907005,0.00800023725907005,0.00823283219750764,0.00463291230159751,"Non-Ricardian Agents omega High"
"17",0.00808828913544602,0.00810364536034081,0.00802179617577974,-0.000118006733486632,-0.000151675320821622,0,0.0100501475350569,0.0100501475350569,0.00728942408203367,0.00728942408203367,0.00790378939455746,0.00440126668651764,"Non-Ricardian Agents omega High"
"18",0.00786262364023865,0.00788596795170297,0.00776154200257906,-0.000179392133510651,-0.000230574634087724,0,0.00984603072059825,0.00984603072059825,0.00664820062741263,0.00664820062741263,0.00758214982526748,0.00418120335219175,"Non-Ricardian Agents omega High"
"19",0.00762865902268306,0.00765863278581983,0.00749887164089136,-0.000230336942300414,-0.000296054543420564,0,0.00961943031228825,0.00961943031228824,0.00606935724876501,0.00606935724876502,0.00726853465835842,0.00397214318458216,"Non-Ricardian Agents omega High"
"20",0.0073889555396199,0.00742437313739177,0.00723559617452488,-0.000272170736148743,-0.00034982396749471,0,0.00937505169937439,0.00937505169937438,0.00554645343039082,0.00554645343039082,0.0069634254013826,0.00377353602535306,"Non-Ricardian Agents omega High"
"21",0.00714571041197229,0.0071855390818612,0.00697325095929886,-0.00030606814376379,-0.000393392669191678,0,0.00911697267115204,0.00911697267115203,0.00507373456233543,0.00507373456233543,0.0066671827814841,0.0035848592240854,"Non-Ricardian Agents omega High"
"22",0.00690080172390922,0.00694414366396047,0.0067131296956971,-0.000333066285623958,-0.000428093670589917,0,0.0088487177777513,0.00884871777775129,0.00464605778113992,0.00464605778113992,0.00638006337869789,0.00340561626288113,"Non-Ricardian Agents omega High"
"23",0.00665582730636198,0.006701903798974,0.00645631457547884,-0.000354080279584789,-0.000455103182487717,0,0.00857332426423127,0.00857332426423127,0.00425882588575099,0.00425882588575099,0.00610223426695412,0.00323533544973707,"Non-Ricardian Agents omega High"
"24",0.00641213916468963,0.00646027649422955,0.00620370294201965,-0.000369917025745991,-0.000475458322240687,0,0.00829340051516108,0.00829340051516107,0.00390792844639496,0.00390792844639496,0.00583378588955235,0.00307356867725022,"Non-Ricardian Agents omega High"
"25",0.00617087394844635,0.00622049091344585,0.0059560308554936,-0.000381287460192998,-0.000490072863627267,0,0.00801117784349607,0.00801117784349607,0.00358968932074451,0.00358968932074451,0.00557474337060244,0.00291989024338771,"Non-Ricardian Agents omega High"
"26",0.00593297990616139,0.00598357674881152,0.00571389391070177,-0.000388817446399665,-0.00049975123568547,0,0.00772855636554601,0.007728556365546,0.00330081987766182,0.00330081987766182,0.00532507644145067,0.00277389573121832,"Non-Ricardian Agents omega High"
"27",0.00569924071905466,0.0057503893142697,0.00547776561681292,-0.000393057454535268,-0.000505200963630009,0,0.00744714562193405,0.00744714562193405,0.00303837730534697,0.00303837730534697,0.00508470814111358,0.0026352009446574,"Non-Ricardian Agents omega High"
